aiding_availability,channel_switches,completed,coverage_fraction,detection_latency_s,dwell_s,elapsed_s,false_alarms,max_cross_track_m,mean_altitude_m,mode_transitions,p95_position_error_m,path_length_m,path_overhead,policy,rms_cross_track_m,rms_position_error_m,safety_violations,scenario,seed,surfaced,surfacing_commanded,swath_coverage,terminal_error_m,waypoints_captured,waypoints_surveyed,waypoints_total
0.9433665443104352,0,True,1.0,,4.0,190.69999999999345,1,0.21289385705393693,2.9994977539418204,1,0.09732881470965171,94.64760542839763,-0.0342081078734936,proposed,0.08727634795667719,0.06759874938763888,0,E6_acoustic_intermittent,20001002,False,False,0.9998325846472734,0.04494079235217519,8,8,8
0.7163157894736842,0,True,1.0,,4.0,189.9999999999935,1,0.2755058816246354,2.999914146638302,1,0.20791133910969162,94.56565052166891,-0.03504438243194985,proposed,0.06847632991829414,0.09348141351685518,0,E6_acoustic_intermittent,20001003,False,False,0.9999713822127673,0.1134906444643992,8,8,8
0.5781741867785939,0,True,1.0,,4.0,190.59999999999346,1,0.25199387132268924,2.9990665976374005,1,0.2818107500919036,94.69274751829288,-0.03374747430313396,proposed,0.07154344275997812,0.13351596287195877,0,E6_acoustic_intermittent,20001004,False,False,0.9996888658791335,0.17082371268270663,8,8,8
0.9200841219768665,0,True,1.0,,4.0,190.19999999999348,1,0.21883030094917189,2.9992988705601697,1,0.10034641313149839,94.50927596376846,-0.035619633022770825,proposed,0.07971133492897055,0.05436555079967947,0,E6_acoustic_intermittent,20001005,False,False,0.9997662901867232,0.0062663634398941424,8,8,8
0.8680628272251308,0,True,1.0,,4.0,190.99999999999343,1,0.19730258533993794,2.9995624205890743,1,0.11749831461070748,95.01670252447349,-0.030441810974760286,proposed,0.07407543377456624,0.09121165612814623,0,E6_acoustic_intermittent,20001006,False,False,0.9998541401963581,0.0889710016310208,8,8,8
0.9028361344537815,0,True,1.0,,4.0,190.39999999999347,1,0.2325815075333253,2.9991058359596776,1,0.11770256479100458,94.76528211841689,-0.03300732532227657,proposed,0.07126833067673669,0.07104438611350858,0,E6_acoustic_intermittent,20001007,False,False,0.9997019453198925,0.06602568255949201,8,8,8
0.4422268907563025,0,True,1.0,,4.0,190.39999999999347,1,0.4067903236575323,3.001576282220737,1,0.23334599417680388,94.4856298794131,-0.03586091959782556,proposed,0.1238224195435994,0.1407450997330483,0,E6_acoustic_intermittent,20001008,False,False,1.0005254274069124,0.22164205085977945,8,8,8
0.9522309711286089,0,True,1.0,,4.0,190.49999999999346,1,0.20172789393204482,2.999964228848144,1,0.08612531937646685,94.69079887849469,-0.03376735838270728,proposed,0.07731650021705486,0.058943389049209115,0,E6_acoustic_intermittent,20001009,False,False,0.9999880762827146,0.027418394839181213,8,8,8
0.093,2,False,0.375,0.5000000000001634,4.0,400.00000000002245,4,9.430539624025998,30.462299330997208,6,10.150448213838047,123.89362961544427,0.26422071036167627,proposed,8.535051930322682,4.064281122567685,2851,E7_compound,20001000,True,True,10.15409977699907,0.03557327412191535,3,3,8
0.102,2,False,0.375,0.5000000000001634,4.0,400.00000000002245,4,7.859081735038959,30.19340705856411,6,8.481459603225627,123.61229100798917,0.26134990824478743,proposed,7.0541026485810026,3.4216738936654347,2843,E7_compound,20001001,True,True,10.06446901952137,0.02938505431043272,3,3,8
0.10325,2,False,0.5,0.5000000000001634,4.0,400.00000000002245,4,5.305992508798505,29.865952380950684,6,2.09079307443082,125.79647253481416,0.2836374748450423,proposed,4.764693321508632,0.8186277077548506,2807,E7_compound,20001002,True,True,9.955317460316895,0.02611196387326372,3,4,8
0.0975,2,False,0.5,0.5000000000001634,4.0,400.00000000002245,4,7.716217464337722,30.2929899849771,6,8.72055925506345,124.37293518168993,0.269111583486632,proposed,6.982231834554682,3.603754476185594,2842,E7_compound,20001003,True,True,10.0976633283257,0.024713439735981824,3,4,8
0.0975,2,False,0.5,0.5000000000001634,4.0,400.00000000002245,4,8.028841575296923,29.631352138575362,6,6.40020192977462,125.12232764099203,0.27675844531624527,proposed,7.175586838503618,2.826885087905405,2806,E7_compound,20001004,True,True,9.87711737952512,0.03536657521167782,3,4,8
0.1,2,False,0.375,0.5000000000001634,4.0,400.00000000002245,4,3.9547027056945416,29.489038559240296,6,2.230556153389665,124.84496540250545,0.2739282183929128,proposed,3.530320866660946,1.0241689229754747,2800,E7_compound,20001005,True,True,9.829679519746765,0.022371246319646158,4,3,8
0.1025,2,False,0.5,0.5000000000001634,4.0,400.00000000002245,4,6.2168981057707615,29.48504452883494,6,3.7545818671316704,125.0462445888504,0.2759820876413306,proposed,5.615102484339066,1.6395474735082654,2802,E7_compound,20001006,True,True,9.828348176278313,0.04913322903432188,3,4,8
0.10075,2,False,0.5,0.5000000000001634,4.0,400.00000000002245,4,6.63018067469924,29.65655813958236,6,4.759249404587864,125.13445492742527,0.27688219313699247,proposed,5.805843130811226,2.0358260063438007,2804,E7_compound,20001007,True,True,9.885519379860787,0.025443890304780916,3,4,8
0.08575,2,False,0.5,0.5000000000001634,4.0,400.00000000002245,4,7.8787901496637405,29.486686285483326,6,6.080665014238131,125.14214494304386,0.276960662684121,proposed,7.090851919111421,2.5467158531159875,2801,E7_compound,20001008,True,True,9.828895428494443,0.02395008812555743,3,4,8
